Entity,Code,Date,deaths,fivedeath
Liechtenstein,LIE,"Apr 3, 2020",0,
Liechtenstein,LIE,"Apr 4, 2020",0,
Liechtenstein,LIE,"Apr 5, 2020",1,
Liechtenstein,LIE,"Apr 6, 2020",1,
Liechtenstein,LIE,"Apr 7, 2020",1,
Liechtenstein,LIE,"Apr 8, 2020",1,
Liechtenstein,LIE,"Apr 9, 2020",1,
Liechtenstein,LIE,"Apr 10, 2020",1,
Liechtenstein,LIE,"Apr 11, 2020",1,
Liechtenstein,LIE,"Apr 12, 2020",1,
Liechtenstein,LIE,"Apr 13, 2020",1,
Liechtenstein,LIE,"Apr 14, 2020",1,
Liechtenstein,LIE,"Apr 15, 2020",1,
Liechtenstein,LIE,"Apr 16, 2020",1,
Liechtenstein,LIE,"Apr 17, 2020",1,
Liechtenstein,LIE,"Apr 18, 2020",1,
Liechtenstein,LIE,"Apr 19, 2020",1,
Liechtenstein,LIE,"Apr 20, 2020",1,
