Task ID,Task Name,Start Date,End Date,Duration,Task
127,Pakistan,2020-02-26,2020-05-10,74 days 00:00:00.000000000,Pakistan
125,Norway,2020-02-26,2020-05-10,74 days 00:00:00.000000000,Norway
124,North Macedonia,2020-02-26,2020-05-10,74 days 00:00:00.000000000,North Macedonia
23,Brazil,2020-02-26,2020-05-10,74 days 00:00:00.000000000,Brazil
136,Romania,2020-02-26,2020-05-10,74 days 00:00:00.000000000,Romania
9,Austria,2020-02-25,2020-05-10,75 days 00:00:00.000000000,Austria
161,Switzerland,2020-02-25,2020-05-10,75 days 00:00:00.000000000,Switzerland
2,Algeria,2020-02-25,2020-05-10,75 days 00:00:00.000000000,Algeria
43,Croatia,2020-02-25,2020-05-10,75 days 00:00:00.000000000,Croatia
0,Afghanistan,2020-02-24,2020-05-10,76 days 00:00:00.000000000,Afghanistan
92,Kuwait,2020-02-24,2020-05-10,76 days 00:00:00.000000000,Kuwait
12,Bahrain,2020-02-24,2020-05-10,76 days 00:00:00.000000000,Bahrain
126,Oman,2020-02-24,2020-05-10,76 days 00:00:00.000000000,Oman
82,Iraq,2020-02-24,2020-05-10,76 days 00:00:00.000000000,Iraq
30,Cambodia,2020-01-27,2020-04-13,77 days 00:00:00.000000000,Cambodia
84,Israel,2020-02-21,2020-05-10,79 days 00:00:00.000000000,Israel
96,Lebanon,2020-02-21,2020-05-10,79 days 00:00:00.000000000,Lebanon
81,Iran,2020-02-19,2020-05-10,81 days 00:00:00.000000000,Iran
52,Egypt,2020-02-14,2020-05-10,86 days 00:00:00.000000000,Egypt
16,Belgium,2020-02-04,2020-05-10,96 days 00:00:00.000000000,Belgium
156,Spain,2020-02-01,2020-05-10,99 days 00:00:00.000000000,Spain
160,Sweden,2020-01-31,2020-05-10,100 days 00:00:00.000000000,Sweden
176,United Kingdom,2020-01-31,2020-05-10,100 days 00:00:00.000000000,United Kingdom
137,Russia,2020-01-31,2020-05-10,100 days 00:00:00.000000000,Russia
85,Italy,2020-01-31,2020-05-10,100 days 00:00:00.000000000,Italy
79,India,2020-01-30,2020-05-10,101 days 00:00:00.000000000,India
132,Philippines,2020-01-30,2020-05-10,101 days 00:00:00.000000000,Philippines
175,United Arab Emirates,2020-01-29,2020-05-10,102 days 00:00:00.000000000,United Arab Emirates
60,Finland,2020-01-29,2020-05-10,102 days 00:00:00.000000000,Finland
65,Germany,2020-01-27,2020-05-10,104 days 00:00:00.000000000,Germany
157,Sri Lanka,2020-01-27,2020-05-10,104 days 00:00:00.000000000,Sri Lanka
8,Australia,2020-01-26,2020-05-10,105 days 00:00:00.000000000,Australia
32,Canada,2020-01-26,2020-05-10,105 days 00:00:00.000000000,Canada
104,Malaysia,2020-01-25,2020-05-10,106 days 00:00:00.000000000,Malaysia
118,Nepal,2020-01-25,2020-05-10,106 days 00:00:00.000000000,Nepal
180,Vietnam,2020-01-23,2020-05-08,106 days 00:00:00.000000000,Vietnam
61,France,2020-01-24,2020-05-10,107 days 00:00:00.000000000,France
163,Taiwan*,2020-01-22,2020-05-08,107 days 00:00:00.000000000,Taiwan*
149,Singapore,2020-01-23,2020-05-10,108 days 00:00:00.000000000,Singapore
166,Thailand,2020-01-22,2020-05-10,109 days 00:00:00.000000000,Thailand
36,China,2020-01-22,2020-05-10,109 days 00:00:00.000000000,China
87,Japan,2020-01-22,2020-05-10,109 days 00:00:00.000000000,Japan
154,South Korea,2020-01-22,2020-05-10,109 days 00:00:00.000000000,South Korea
172,US,2020-01-22,2020-05-10,109 days 00:00:00.000000000,US
