,Axis1,Axis2,Kernel
779,36.93695,-48.439182,0
780,-38.509636,1.6284001,3
781,26.232403,-48.355564,0
782,11.36279,-19.121958,8
783,-8.741258,3.1945522,3
784,-26.33578,60.562355,14
785,-60.274586,18.172352,5
786,40.587334,-18.321573,0
787,33.273895,-36.71756,0
788,-31.15226,42.376736,11
789,10.544754,13.408008,5
790,-45.01678,-15.1188135,7
791,20.876574,19.006554,5
792,34.74761,0.37790614,12
793,27.65315,9.156856,12
794,-27.045279,47.77023,5
795,41.33547,-14.682088,12
796,-12.375133,-5.214508,7
797,15.06763,-2.2569807,8
798,32.749607,-48.87413,0
799,-10.855477,-13.233175,5
800,-54.21285,8.599739,10
801,31.919292,-16.344797,7
802,-12.084104,28.332321,5
803,20.812027,-40.362217,0
804,-30.345198,33.770298,11
805,-10.713278,-5.4279103,7
806,-4.99603,-11.116906,5
807,-3.2554023,57.983257,2
808,-14.6788225,1.0034418,7
809,27.558638,-1.0967718,12
810,11.489233,19.37257,5
811,3.8577194,-55.727158,4
812,30.185915,19.120865,13
813,36.235935,-11.180253,1
814,32.974876,10.312409,13
815,35.2916,-26.280529,0
816,20.0266,1.9061255,1
817,-29.735056,36.848476,11
818,0.03311368,-23.750431,1
819,-12.419203,11.796705,11
820,-22.997673,-31.878662,9
821,0.456509,-4.915601,5
822,10.059527,17.032959,5
823,-40.79017,13.260169,3
824,29.688124,-28.985794,0
825,39.69575,5.120955,12
826,25.009819,-8.267951,8
827,-7.0913897,-23.736115,8
828,32.02198,-42.531815,0
829,30.990938,-8.85163,8
830,13.642584,-23.950111,5
831,28.274046,19.930235,13
832,31.938124,-55.17134,0
833,-56.350166,7.495417,10
834,-8.091207,-9.182048,8
835,-0.30997002,-50.200256,4
836,26.24802,1.0657302,8
837,-7.861155,46.495102,11
838,39.66394,-16.494991,0
839,-15.440112,-12.041183,8
840,-28.083603,56.54445,14
841,-39.708652,26.746813,11
842,-2.2683992,1.0469025,6
843,-0.66982263,21.612963,14
844,12.322567,-32.367977,8
845,23.644037,35.103806,1
846,-37.80135,33.760643,11
847,48.9766,0.11686549,5
848,-27.013006,59.992546,14
849,9.581175,-26.766777,5
850,25.044529,15.016693,13
851,4.922238,-49.253323,4
852,4.0080557,29.062216,14
853,-19.737835,-28.520132,9
854,-18.0133,25.782639,3
855,35.12647,-0.6828438,12
856,-32.1971,34.54328,11
857,-0.9477674,20.376707,1
858,-19.28088,4.7443447,3
859,13.747807,34.15186,14
860,33.530067,-52.53427,0
861,-5.553362,-35.788147,5
862,-44.40948,33.559578,10
863,-35.891018,3.0954804,3
864,15.215021,10.848788,5
865,-30.520584,26.672354,11
866,-43.2472,37.175655,11
867,12.181046,-1.5988586,5
868,46.664467,5.1857877,12
869,-13.585894,-20.113483,9
870,-17.849918,14.683958,11
871,21.320873,-8.511967,8
872,-47.560574,12.855694,10
873,-0.08421678,22.394299,14
874,29.898739,-2.5934145,12
875,-45.275925,20.742731,11
876,-16.015553,-19.759779,9
877,36.054276,11.204731,13
878,14.610286,-42.174393,8
879,-49.318264,25.435196,11
880,18.561647,-53.102493,5
881,20.45446,-24.485092,5
882,-12.421814,37.0707,3
883,-15.306167,1.25637,7
884,-24.601923,18.174139,3
885,-20.528622,51.87584,5
886,8.623859,-25.60402,5
887,34.540516,-44.654713,0
888,-35.497185,20.308584,5
889,23.533587,34.02872,3
890,34.388275,-38.99579,0
891,9.464624,24.181417,14
892,-38.821465,16.690695,5
893,-19.181993,-31.81284,9
894,-24.139479,41.70743,14
895,0.026028851,2.3728163,6
896,51.1037,-32.47563,0
897,-50.362377,7.4934916,10
898,-0.3040033,3.592908,6
899,-3.1450713,0.46987402,5
900,19.075077,-36.170513,8
901,-1.1780392,0.7117158,6
902,19.940826,1.9162674,1
903,-17.02692,51.94785,14
904,46.39156,2.085313,12
