Entity,Code,date,deaths,fivedeath
Bhutan,BTN,20-Apr-20,0,
Bhutan,BTN,21-Apr-20,0,
Bhutan,BTN,22-Apr-20,0,
Bolivia,BOL,1-Apr-20,7,1
Bolivia,BOL,2-Apr-20,8,2
Bolivia,BOL,3-Apr-20,9,3
Bolivia,BOL,4-Apr-20,10,4
Bolivia,BOL,5-Apr-20,10,5
Bolivia,BOL,6-Apr-20,11,6
Bolivia,BOL,7-Apr-20,14,7
Bolivia,BOL,8-Apr-20,15,8
Bolivia,BOL,9-Apr-20,18,9
Bolivia,BOL,10-Apr-20,19,10
Bolivia,BOL,11-Apr-20,20,11
Bolivia,BOL,12-Apr-20,24,12
Bolivia,BOL,13-Apr-20,27,13
Bolivia,BOL,14-Apr-20,28,14
Bolivia,BOL,15-Apr-20,28,15
Bolivia,BOL,16-Apr-20,29,16
Bolivia,BOL,17-Apr-20,31,17
Bolivia,BOL,18-Apr-20,31,18
Bolivia,BOL,19-Apr-20,32,19
Bolivia,BOL,20-Apr-20,33,20
Bolivia,BOL,21-Apr-20,34,21
Bolivia,BOL,22-Apr-20,37,22
Bonaire Sint Eustatius and Saba,BES,2-Apr-20,0,
Bonaire Sint Eustatius and Saba,BES,3-Apr-20,0,
Bonaire Sint Eustatius and Saba,BES,4-Apr-20,0,
Bonaire Sint Eustatius and Saba,BES,5-Apr-20,0,
Bonaire Sint Eustatius and Saba,BES,6-Apr-20,0,
Bonaire Sint Eustatius and Saba,BES,7-Apr-20,0,
Bonaire Sint Eustatius and Saba,BES,8-Apr-20,0,
Bonaire Sint Eustatius and Saba,BES,9-Apr-20,0,
Bonaire Sint Eustatius and Saba,BES,10-Apr-20,0,
Bonaire Sint Eustatius and Saba,BES,11-Apr-20,0,
Bonaire Sint Eustatius and Saba,BES,12-Apr-20,0,
Bonaire Sint Eustatius and Saba,BES,13-Apr-20,0,
Bonaire Sint Eustatius and Saba,BES,14-Apr-20,0,
Bonaire Sint Eustatius and Saba,BES,15-Apr-20,0,
Bonaire Sint Eustatius and Saba,BES,16-Apr-20,0,
Bonaire Sint Eustatius and Saba,BES,17-Apr-20,0,
Bonaire Sint Eustatius and Saba,BES,18-Apr-20,0,
Bonaire Sint Eustatius and Saba,BES,19-Apr-20,0,
Bonaire Sint Eustatius and Saba,BES,20-Apr-20,0,
Bonaire Sint Eustatius and Saba,BES,21-Apr-20,0,
Bonaire Sint Eustatius and Saba,BES,22-Apr-20,0,
Bosnia and Herzegovina,BIH,1-Apr-20,12,3
Bosnia and Herzegovina,BIH,2-Apr-20,13,4
Bosnia and Herzegovina,BIH,3-Apr-20,17,5
Bosnia and Herzegovina,BIH,4-Apr-20,18,6
Bosnia and Herzegovina,BIH,5-Apr-20,21,7
Bosnia and Herzegovina,BIH,6-Apr-20,24,8
Bosnia and Herzegovina,BIH,7-Apr-20,28,9
Bosnia and Herzegovina,BIH,8-Apr-20,32,10
Bosnia and Herzegovina,BIH,9-Apr-20,35,11
Bosnia and Herzegovina,BIH,10-Apr-20,36,12
Bosnia and Herzegovina,BIH,11-Apr-20,37,13
Bosnia and Herzegovina,BIH,12-Apr-20,37,14
Bosnia and Herzegovina,BIH,13-Apr-20,38,15
Bosnia and Herzegovina,BIH,14-Apr-20,38,16
Bosnia and Herzegovina,BIH,15-Apr-20,39,17
Bosnia and Herzegovina,BIH,16-Apr-20,40,18
Bosnia and Herzegovina,BIH,17-Apr-20,41,19
Bosnia and Herzegovina,BIH,18-Apr-20,44,20
Bosnia and Herzegovina,BIH,19-Apr-20,45,21
Bosnia and Herzegovina,BIH,20-Apr-20,46,22
Bosnia and Herzegovina,BIH,21-Apr-20,48,23
Bosnia and Herzegovina,BIH,22-Apr-20,50,24
Botswana,BWA,1-Apr-20,0,
Botswana,BWA,2-Apr-20,1,
Botswana,BWA,3-Apr-20,1,
Botswana,BWA,4-Apr-20,1,
Botswana,BWA,5-Apr-20,1,
Botswana,BWA,6-Apr-20,1,
